id.accession,id.assay name,id.sample name,study.characteristics.organism,study.factor value.absorbed radiation dose,study.factor value.age,study.factor value.altered gravity,study.factor value.atmospheric pressure,study.factor value.cell cycle phase,study.factor value.cultivar,study.factor value.ecotype,study.factor value.exposure duration,study.factor value.generation,study.factor value.genotype,study.factor value.growth time,study.factor value.ionizing radiation,study.factor value.light,study.factor value.magnetic field,study.factor value.microgravity simulation,study.factor value.organism part,study.factor value.sample preservation method,study.factor value.soil environment exposure,study.factor value.spacecraft,study.factor value.spaceflight,study.factor value.time,study.factor value.time of sample collection after treatment,study.factor value.tissue,study.factor value.tissue segment,study.factor value.treatment
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Root_FLT_Rep1","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Plant Roots",NaN,NaN,NaN,"Space Flight",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Root_FLT_Rep2","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Plant Roots",NaN,NaN,NaN,"Space Flight",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Root_FLT_Rep3","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Plant Roots",NaN,NaN,NaN,"Space Flight",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Root_FLT_Rep4","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Plant Roots",NaN,NaN,NaN,"Space Flight",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Root_FLT_Rep5","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Plant Roots",NaN,NaN,NaN,"Space Flight",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Root_GC_Rep1","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Plant Roots",NaN,NaN,NaN,"Ground Control",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Root_GC_Rep2","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Plant Roots",NaN,NaN,NaN,"Ground Control",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Root_GC_Rep3","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Plant Roots",NaN,NaN,NaN,"Ground Control",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Root_GC_Rep4","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Plant Roots",NaN,NaN,NaN,"Ground Control",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Root_GC_Rep5","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Plant Roots",NaN,NaN,NaN,"Ground Control",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Shoot_FLT_Rep1","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Plant Shoots",NaN,NaN,NaN,"Space Flight",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Shoot_FLT_Rep2","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Plant Shoots",NaN,NaN,NaN,"Space Flight",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Shoot_FLT_Rep3","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Plant Shoots",NaN,NaN,NaN,"Space Flight",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Shoot_FLT_Rep4","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Plant Shoots",NaN,NaN,NaN,"Space Flight",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Shoot_FLT_Rep5","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Plant Shoots",NaN,NaN,NaN,"Space Flight",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Shoot_GC_Rep1","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Plant Shoots",NaN,NaN,NaN,"Ground Control",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Shoot_GC_Rep2","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Plant Shoots",NaN,NaN,NaN,"Ground Control",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Shoot_GC_Rep3","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Plant Shoots",NaN,NaN,NaN,"Ground Control",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Shoot_GC_Rep4","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Plant Shoots",NaN,NaN,NaN,"Ground Control",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Col-0_Shoot_GC_Rep5","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Plant Shoots",NaN,NaN,NaN,"Ground Control",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Whole-Plant_FLT_Rep1","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Whole Organism",NaN,NaN,NaN,"Space Flight",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Whole-Plant_FLT_Rep2","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Whole Organism",NaN,NaN,NaN,"Space Flight",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Whole-Plant_FLT_Rep3","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Whole Organism",NaN,NaN,NaN,"Space Flight",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Whole-Plant_GC_Rep1","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Whole Organism",NaN,NaN,NaN,"Ground Control",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Whole-Plant_GC_Rep2","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Whole Organism",NaN,NaN,NaN,"Ground Control",NaN,NaN,NaN,NaN,NaN
"OSD-7","OSD-7_transcription-profiling_dna-microarray_affymetrix","Atha_WS-0_Whole-Plant_GC_Rep3","Arabidopsis thaliana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Whole Organism",NaN,NaN,NaN,"Ground Control",NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_LDC_1G_0T_Rep1","Arabidopsis thaliana",NaN,NaN,"1G by centrifugation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"{Not Applicable}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_LDC_1G_0T_Rep2","Arabidopsis thaliana",NaN,NaN,"1G by centrifugation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"{Not Applicable}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_LDC_1G_0T_Rep3","Arabidopsis thaliana",NaN,NaN,"1G by centrifugation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"{Not Applicable}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_LDC_2G_0T_Rep1","Arabidopsis thaliana",NaN,NaN,"2G by centrifugation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"{Not Applicable}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_LDC_2G_0T_Rep2","Arabidopsis thaliana",NaN,NaN,"2G by centrifugation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"{Not Applicable}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_LDC_2G_0T_Rep3","Arabidopsis thaliana",NaN,NaN,"2G by centrifugation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"{Not Applicable}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_ML_0.1G_14.7T_Rep1","Arabidopsis thaliana",NaN,NaN,"0.1G by Magnetic Levitation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"14.7 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_ML_0.1G_14.7T_Rep2","Arabidopsis thaliana",NaN,NaN,"0.1G by Magnetic Levitation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"14.7 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_ML_0.1G_14.7T_Rep3","Arabidopsis thaliana",NaN,NaN,"0.1G by Magnetic Levitation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"14.7 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_ML_1.9G_14.7T_Rep1","Arabidopsis thaliana",NaN,NaN,"1.9G by Magnetic Levitation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"14.7 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_ML_1.9G_14.7T_Rep2","Arabidopsis thaliana",NaN,NaN,"1.9G by Magnetic Levitation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"14.7 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_ML_1G_16.5T_Rep1","Arabidopsis thaliana",NaN,NaN,"1G by Magnetic Levitation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"16.5 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_ML_1G_16.5T_Rep2","Arabidopsis thaliana",NaN,NaN,"1G by Magnetic Levitation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"16.5 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_ML_1G_16.5T_Rep3","Arabidopsis thaliana",NaN,NaN,"1G by Magnetic Levitation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"16.5 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_ML_2G_10.1T_Rep1","Arabidopsis thaliana",NaN,NaN,"2G by Magnetic Levitation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"10.1 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_ML_2G_10.1T_Rep2","Arabidopsis thaliana",NaN,NaN,"2G by Magnetic Levitation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"10.1 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_ML_2G_10.1T_Rep3","Arabidopsis thaliana",NaN,NaN,"2G by Magnetic Levitation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"10.1 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_ML_suG_10.1T_Rep1","Arabidopsis thaliana",NaN,NaN,"uG by Magnetic Levitation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"10.1 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_ML_suG_10.1T_Rep2","Arabidopsis thaliana",NaN,NaN,"uG by Magnetic Levitation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"10.1 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_ML_suG_10.1T_Rep3","Arabidopsis thaliana",NaN,NaN,"uG by Magnetic Levitation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"10.1 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_RPoM_1G_0T_Rep1","Arabidopsis thaliana",NaN,NaN,"1G by random positioning machine",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"{Not Applicable}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_RPoM_1G_0T_Rep2","Arabidopsis thaliana",NaN,NaN,"1G by random positioning machine",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"{Not Applicable}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_RPoM_1G_0T_Rep3","Arabidopsis thaliana",NaN,NaN,"1G by random positioning machine",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"{Not Applicable}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_RPoM_suG_0T_Rep1","Arabidopsis thaliana",NaN,NaN,"uG by random positioning machine",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"{Not Applicable}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_RPoM_suG_0T_Rep2","Arabidopsis thaliana",NaN,NaN,"uG by random positioning machine",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"{Not Applicable}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_RPoM_suG_0T_Rep3","Arabidopsis thaliana",NaN,NaN,"uG by random positioning machine",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"{Not Applicable}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_oML_1G_0T_Rep1","Arabidopsis thaliana",NaN,NaN,"1G on Earth",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"0 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_oML_1G_0T_Rep10","Arabidopsis thaliana",NaN,NaN,"1G on Earth",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"0 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_oML_1G_0T_Rep11","Arabidopsis thaliana",NaN,NaN,"1G on Earth",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"0 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_oML_1G_0T_Rep12","Arabidopsis thaliana",NaN,NaN,"1G on Earth",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"0 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_oML_1G_0T_Rep13","Arabidopsis thaliana",NaN,NaN,"1G on Earth",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"0 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_oML_1G_0T_Rep14","Arabidopsis thaliana",NaN,NaN,"1G on Earth",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"0 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_oML_1G_0T_Rep2","Arabidopsis thaliana",NaN,NaN,"1G on Earth",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"0 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_oML_1G_0T_Rep3","Arabidopsis thaliana",NaN,NaN,"1G on Earth",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"0 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_oML_1G_0T_Rep4","Arabidopsis thaliana",NaN,NaN,"1G on Earth",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"0 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"OSD-8","OSD-8_transcription-profiling_dna-microarray_Agilent","Atha_MM2d_cls_oML_1G_0T_Rep5","Arabidopsis thaliana",NaN,NaN,"1G on Earth",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"0 {tesla}",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
