brapa_gene	agi	identity	evalue	bitscore
BRARA.A00092	AT4G40045	79.3	1.55e-64	194
BRARA.A00093	AT4G40050	87.4	0	1018
BRARA.A00095	AT4G40060	82.8	2.01e-149	420
BRARA.A00100	AT4G38050	74.4	0	980
BRARA.A00101	AT4G38040	88.2	1.56e-282	767
BRARA.A00102	AT4G38030	81.2	0	1127
BRARA.A00103	AT4G38020	83.4	1.12e-206	569
BRARA.A00104	AT4G38000	71	9.44e-116	330
BRARA.A00106	AT4G37970	88.4	5.5e-241	657
BRARA.A00107	AT4G37940	90.4	1.6e-120	341
BRARA.A00109	AT4G37920	88	2.98e-260	712
BRARA.A00110	AT4G37880	77.6	6.83e-223	613
BRARA.A00111	AT4G37870	96.7	0	1304
BRARA.A00112	AT4G37860	51.1	2.03e-73	229
BRARA.A00113	AT4G37850	70.9	2.96e-151	427
BRARA.A00117	AT4G37790	84.9	1.84e-161	449
BRARA.A00118	AT4G37780	63.6	4.99e-128	364
BRARA.A00119	AT4G37770	91.5	0	868
BRARA.A00120	AT4G37760	92.8	0	920
BRARA.A00121	AT4G37750	84.9	4.39e-315	860
BRARA.A00122	AT4G37740	68.5	2.94e-214	600
BRARA.A00123	AT4G37730	74.1	3.78e-118	339
BRARA.A00124	AT4G37680	91.9	2.72e-269	730
BRARA.A00125	AT4G37670	88.8	0	1072
BRARA.A00129	AT4G37560	92	4.89001e-319	862
BRARA.A00131	AT4G37540	76.8	3.28e-125	354
BRARA.A00133	AT4G37520	91	4.87e-215	588
BRARA.A00134	AT4G37510	93.5	2.28e-314	853
BRARA.A00135	AT4G37460	83	0	1189
BRARA.A00137	AT4G37445	91.9	1.38e-102	290
BRARA.A00140	AT4G37435	50.9	1.07e-44	145
BRARA.A00142	AT4G37430	82.6	1.28e-312	850
BRARA.A00143	AT4G37420	79.8	0	958
BRARA.A00144	AT4G37410	77.8	1.56e-287	786
BRARA.A00145	AT4G37400	89.6	0	914
BRARA.A00146	AT4G37390	91.5	0	1077
BRARA.A00148	AT4G37330	79.7	2.88e-290	793
BRARA.A00149	AT4G37310	82.9	7.79e-303	826
BRARA.A00150	AT4G37300	82.1	2.34e-95	273
BRARA.A00153	AT4G37280	88.8	1.08e-201	554
BRARA.A00154	AT4G37270	94	0	1431
BRARA.A00155	AT4G37260	88.1	6.61e-193	532
BRARA.A00156	AT4G37250	77.5	0	912
BRARA.A00157	AT4G36880	86.1	1.38e-238	652
BRARA.A00158	AT4G36890	76.8	5.66e-217	604
BRARA.A00159	AT4G36900	79.2	2.7e-89	259
BRARA.A00161	AT4G36930	73.6	1.11e-142	408
BRARA.A00162	AT4G36950	77.2	2.33e-185	515
BRARA.A00164	AT4G36970	72	3.48e-183	516
BRARA.A00165	AT4G36980	86.3	3.98e-241	672
BRARA.A00166	AT4G37000	83	6.63e-184	509
BRARA.A00167	AT4G37010	80	4.7e-90	259
BRARA.A00168	AT4G37040	89.7	1.15e-236	645
BRARA.A00171	AT4G37070	85	2.32e-255	697
BRARA.A00173	AT4G37090	69.1	6.89e-70	209
BRARA.A00175	AT4G37100	81.2	0	1358
BRARA.A00176	AT4G37110	64.8	2.28e-161	459
BRARA.A00177	AT4G37130	72.1	2.33e-178	509
BRARA.A00179	AT4G37180	64	2.2e-126	365
BRARA.A00181	AT4G37200	79.3	1.22e-138	389
BRARA.A00183	AT4G37235	85	9.27e-81	234
BRARA.A00185	AT4G35910	82.8	3.78e-273	746
BRARA.A00187	AT4G36860	85.8	0	902
BRARA.A00188	AT4G36850	89.8	2.79e-256	698
BRARA.A00190	AT4G36810	84.9	2.6e-209	577
BRARA.A00192	AT4G36790	88.5	1.25e-307	836
BRARA.A00193	AT4G36780	92.1	2.4e-100	295
BRARA.A00194	AT4G36770	82.4	1.71e-200	558
BRARA.A00197	AT4G36740	89.4	4.97e-137	382
BRARA.A00198	AT4G36730	87.9	1.1e-165	462
BRARA.A00202	AT4G36670	90.5	0	881
BRARA.A00204	AT3G50690	71.9	7.34e-71	235
BRARA.A00209	AT4G36230	59.6	1.03e-19	81.6
BRARA.A00210	AT4G36240	72.2	6.99e-112	320
BRARA.A00213	AT4G36280	82.5	0	910
BRARA.A00214	AT4G36360	94	0	1710
BRARA.A00215	AT4G36380	84.9	1.26e-318	867
BRARA.A00216	AT4G36390	87.1	0	1083
BRARA.A00217	AT4G36410	95.7	8.71e-115	321
BRARA.A00219	AT4G36440	73.4	2.6e-218	603
BRARA.A00220	AT4G36490	88	0	928
BRARA.A00222	AT4G36470	83.3	8.65e-226	619
BRARA.A00225	AT4G36520	61.4	2.73e-276	821
BRARA.A00226	AT4G36530	87.1	7.48e-232	635
BRARA.A00229	AT4G36580	88.8	0	947
BRARA.A00231	AT4G36610	84.6	8.94e-183	505
BRARA.A00232	AT4G36210	88.3	0	1115
BRARA.A00233	AT4G36195	86.8	0	894
BRARA.A00234	AT4G36180	89.3	1.95e-277	810
BRARA.A00235	AT4G36160	82.5	5.88e-222	610
BRARA.A00239	AT4G36120	65.7	0	962
BRARA.A00242	AT4G36090	65.9	6.26e-228	635
BRARA.A00243	AT4G36080	87.4	0	6572
BRARA.A00244	AT4G36050	80	0	902
BRARA.A00245	AT4G36040	87	9.59e-96	273
BRARA.A00248	AT4G35987	84.6	3.67e-185	511
BRARA.A00249	AT4G35980	87.5	3.37e-48	147
BRARA.A00250	AT4G35970	87.4	6.48e-180	496
BRARA.A00257	AT4G35880	89	0	905
BRARA.A00258	AT4G35860	92.9	4.87e-141	392
BRARA.A00259	AT4G35850	87.6	3.39e-244	672
BRARA.A00260	AT4G35840	81.2	2.04e-130	368
BRARA.A00261	AT4G35830	97.8	0	1774
BRARA.A00267	AT4G35783	83.9	2.42e-32	105
BRARA.A00268	AT4G35770	81.7	6.62e-102	290
BRARA.A00269	AT4G35760	75.9	2.96e-181	506
BRARA.A00273	AT4G35700	51.3	1.02e-65	205
BRARA.A00274	AT4G35690	81.2	1.25e-148	417
BRARA.A00275	AT4G35680	72.7	3.31e-146	412
BRARA.A00278	AT4G35590	69.7	5.65e-142	405
BRARA.A00279	AT4G12735	65.6	3.29e-18	69.7
BRARA.A00285	AT4G35510	65.1	8.66e-79	240
BRARA.A00288	AT4G35470	67.3	1.51e-145	426
BRARA.A00289	AT4G35450	79.7	1.47e-115	338
BRARA.A00290	AT4G35440	83.6	0	1075
BRARA.A00291	AT4G35420	93.8	1.24e-226	618
BRARA.A00293	AT4G35390	79.9	2.85e-145	410
BRARA.A00294	AT4G35380	90.4	0	2982
BRARA.A00296	AT4G35360	95.6	6.39e-256	695
BRARA.A00297	AT4G35350	91.8	1.17e-243	663
BRARA.A00299	AT4G35320	77.4	9.55e-72	211
BRARA.A00300	AT4G35310	87.3	0	876
BRARA.A00301	AT4G35300	94.1	0	1342
BRARA.A00302	AT4G35290	85.7	0	1548
BRARA.A00305	AT4G35270	81.9	0	1487
BRARA.A00306	AT4G35260	96.2	1.5e-254	692
BRARA.A00307	AT5G60620	94.1	4.27e-270	732
BRARA.A00309	AT4G35230	95.3	0	944
BRARA.A00310	AT4G35220	90.5	1.13e-179	494
BRARA.A00313	AT4G35140	78.8	6.48e-249	689
BRARA.A00314	AT4G35130	74.6	0	1188
BRARA.A00318	AT4G35100	96.4	4.38e-199	544
BRARA.A00320	AT4G35080	79.9	1.68e-194	540
BRARA.A00324	AT4G35060	94.8	9.96e-108	303
BRARA.A00327	AT4G35030	80	3.21e-257	706
BRARA.A00328	AT4G35020	97.5	4.97e-139	385
BRARA.A00330	AT4G34990	80.4	3.35e-162	451
BRARA.A00331	AT4G34970	88.7	1.07e-92	264
BRARA.A00332	AT4G34960	94.6	1.51e-155	429
BRARA.A00334	AT4G34940	91.5	0	1146
BRARA.A00336	AT4G34890	91.8	0	2515
BRARA.A00338	AT4G34870	84.2	2.51e-108	306
BRARA.A00339	AT4G34860	94	0	1109
BRARA.A00341	AT4G34830	76.5	0	1077
BRARA.A00342	AT4G34810	92.4	4.92e-65	191
BRARA.A00343	AT4G34800	96.7	6.18e-60	177
BRARA.A00347	AT4G34760	96.3	3.91e-74	214
BRARA.A00348	AT4G34750	77.8	9.62e-80	231
BRARA.A00349	AT4G34740	91.9	0	993
BRARA.A00357	AT4G34660	94	2.15e-241	659
BRARA.A00358	AT4G34650	85.6	2.99e-258	705
BRARA.A00360	AT4G34630	54.7	1.18e-58	183
BRARA.A00361	AT4G34620	91.2	1.74e-73	213
BRARA.A00362	AT4G34600	80.7	1.24e-38	122
BRARA.A00366	AT4G34570	84.8	0	987
BRARA.A00368	AT4G34540	84	1.29e-187	518
BRARA.A00369	AT4G34530	64.5	1.71e-126	365
BRARA.A00370	AT4G34500	89	1.04e-272	744
BRARA.A00371	AT4G34490	90	4.94e-302	824
BRARA.A00372	AT4G34480	83.8	5.67e-306	833
BRARA.A00373	AT4G34460	94.7	1.68e-272	738
BRARA.A00375	AT4G34440	88.4	5.36e-289	804
BRARA.A00377	AT4G34420	88.9	3.36e-225	615
BRARA.A00378	AT4G34419	90.7	4.01e-82	236
BRARA.A00379	AT4G34412	92.4	8.06e-105	297
BRARA.A00380	AT4G34410	70.5	4.61e-117	335
BRARA.A00383	AT4G34370	83.3	0	1005
BRARA.A00384	AT4G34360	90.2	6.86e-161	446
BRARA.A00386	AT4G34340	69.8	6.98e-154	436
BRARA.A00387	AT4G34310	88.9	0	2083
BRARA.A00388	AT4G34290	81.3	9.35e-73	213
BRARA.A00389	AT4G34280	74.4	0	1110
BRARA.A00390	AT3G25580	90	3.35e-127	357
BRARA.A00391	AT4G34270	88.6	2.2e-190	523
BRARA.A00394	AT4G34260	87.5	0	1497
BRARA.A00395	AT4G34250	83.2	1.59e-290	793
BRARA.A00396	AT4G34240	85	0	919
BRARA.A00399	AT4G34220	81.3	0	964
BRARA.A00400	AT4G34215	84.8	1.35e-163	453
BRARA.A00401	AT4G34200	92.9	0	1041
BRARA.A00402	AT4G34190	83.3	9.05e-76	221
BRARA.A00406	AT4G34140	66.2	2.95e-208	584
BRARA.A00412	AT4G34100	90.9	0	1907
BRARA.A00413	AT4G34060	62.7	0	1201
BRARA.A00414	AT4G34020	80.3	2.67e-247	682
BRARA.A00415	AT4G34000	73.2	3.9e-209	582
BRARA.A00419	AT4G33950	95.6	1.39e-254	691
BRARA.A00420	AT4G33945	86	6.34e-268	733
BRARA.A00422	AT4G33925	93.9	1.14e-87	250
BRARA.A00425	AT4G33870	69.6	1.02e-191	536
BRARA.A00429	AT4G33770	84.9	5.25e-236	647
BRARA.A00432	AT4G33730	84.3	5.07e-108	305
BRARA.A00433	AT4G33720	78.8	1.38e-99	283
BRARA.A00434	AT4G33700	93.2	1.94e-272	742
BRARA.A00435	AT4G33690	74	4.13e-84	251
BRARA.A00437	AT4G33666	61.9	1.54e-23	84.7
BRARA.A00438	AT4G33660	90	8.56e-08	44.3
BRARA.A00439	AT4G33650	87.5	0	1367
BRARA.A00440	AT4G33640	93.9	1.3e-48	151
BRARA.A00441	AT4G33625	85.6	2.94e-113	320
BRARA.A00442	AT4G33620	74.7	0	1072
BRARA.A00443	AT4G33585	74.5	5.83e-16	70.1
BRARA.A00445	AT4G33540	83.7	2.64e-217	596
BRARA.A00446	AT4G33530	89.3	0	1436
BRARA.A00447	AT4G33520	89.3	0	1572
BRARA.A00448	AT4G33510	91.7	0	938
BRARA.A00449	AT4G33500	57.8	6.04e-247	704
BRARA.A00450	AT4G33495	87.7	1.04e-254	696
BRARA.A00451	AT4G33490	92.3	1.25e-297	806
BRARA.A00452	AT4G33480	81	2.03e-174	486
BRARA.A00453	AT4G33470	86.8	3.22e-271	739
BRARA.A00454	AT4G33467	69.6	2.54e-42	133
BRARA.A00455	AT4G33460	86.9	2.29e-165	458
BRARA.A00457	AT4G33440	88.2	0	867
BRARA.A00458	AT4G33430	81.9	0	939
BRARA.A00460	AT4G33410	93.8	1.49e-252	687
BRARA.A00461	AT4G33400	87.1	0	1083
BRARA.A00462	AT4G33390	65.3	7e-209	607
BRARA.A00463	AT4G33380	85.4	3.09e-204	561
BRARA.A00465	AT4G33330	88.6	0	1094
BRARA.A00467	AT4G33270	94.1	0	875
BRARA.A00468	AT4G33250	91.7	9.73e-149	412
BRARA.A00469	AT4G33240	83.2	0	2788
BRARA.A00474	AT4G33170	80.2	0	1571
BRARA.A00475	AT4G33160	76.8	8.59e-232	642
BRARA.A00476	AT4G33150	89.3	0	1865
BRARA.A00477	AT4G33145	65	1.37e-18	70.9
BRARA.A00479	AT4G33130	85	3.64e-127	358
BRARA.A00481	AT4G33110	89.6	2.26e-243	662
BRARA.A00483	AT4G33090	90.3	0	1582
BRARA.A00484	AT4G33080	94.8	0	989
BRARA.A00485	AT4G33060	85.9	6.64e-299	815
BRARA.A00486	AT4G33050	85.1	1.94e-294	805
BRARA.A00487	AT4G33040	91.7	2.38e-88	253
BRARA.A00489	AT4G33020	87.2	3.95e-233	639
BRARA.A00490	AT4G33010	90.2	0	1885
BRARA.A00491	AT4G33000	86.5	7.25e-152	422
BRARA.A00492	AT4G32980	73.7	6.64e-238	658
BRARA.A00497	AT4G32940	87.7	0	870
BRARA.A00500	AT4G32910	88.6	0	1278
BRARA.A00501	AT4G32900	87.6	7.99e-113	319
BRARA.A00502	AT4G32890	75.7	9.37e-154	432
BRARA.A00504	AT4G32870	73.6	1.95e-88	254
BRARA.A00506	AT4G32850	85.7	0	1270
BRARA.A00507	AT4G32840	93.9	0	875
BRARA.A00508	AT4G32830	93.2	1.7e-200	549
BRARA.A00509	AT4G32820	85.2	0	3127
BRARA.A00510	AT4G32810	85.1	0	1031
BRARA.A00512	AT4G32780	91	2.88e-222	615
BRARA.A00518	AT4G32720	81.2	3.02e-233	644
BRARA.A00522	AT4G32710	75.1	2.8e-256	724
BRARA.A00524	AT4G32690	85.7	5.86e-108	305
BRARA.A00525	AT4G32680	75.9	3.94e-131	372
BRARA.A00526	AT4G32670	66.2	0	1098
BRARA.A00528	AT4G32660	91.2	9.72e-274	743
BRARA.A00529	AT4G32650	81.1	0	1009
BRARA.A00530	AT4G32640	80.4	0	1640
BRARA.A00531	AT4G32630	64.9	1.06e-256	717
BRARA.A00532	AT4G32620	75.1	0	2076
BRARA.A00533	AT4G32610	71.8	4.49e-83	253
BRARA.A00534	AT4G32605	88.6	1.04e-143	400
BRARA.A00535	AT4G32600	83.8	1.05e-249	685
BRARA.A00536	AT4G32590	79.6	7.91e-86	249
BRARA.A00538	AT4G32560	80.2	5.52e-149	419
BRARA.A00539	AT4G32551	78.3	0	1201
BRARA.A00540	AT4G32540	88.1	1.03e-268	732
BRARA.A00541	AT4G29250	79.3	8.24e-256	702
BRARA.A00542	AT2G25610	97.8	1.2e-99	286
BRARA.A00543	AT4G32520	88.5	0	939
BRARA.A00544	AT4G32510	90.4	0	1207
BRARA.A00545	AT4G32500	87.6	0	1376
BRARA.A00547	AT4G32460	92.9	3.3e-257	698
BRARA.A00548	AT4G32450	67.6	8.66e-252	698
BRARA.A00549	AT4G32440	72.6	6.82e-184	514
BRARA.A00550	AT4G32430	80.2	0	1228
BRARA.A00551	AT4G32420	65.3	8.26e-137	424
BRARA.A00553	AT4G32400	82.6	9.21e-222	610
BRARA.A00554	AT4G32390	94.6	1.01e-230	630
BRARA.A00556	AT4G32370	71	3.91e-168	474
BRARA.A00557	AT4G32350	58.6	8.88e-204	588
BRARA.A00558	AT4G32340	64.5	1.37e-76	231
BRARA.A00564	AT4G32285	86.6	0	1024
BRARA.A00567	AT4G32270	79.4	1.53e-127	360
BRARA.A00568	AT4G32250	89.1	0	1103
BRARA.A00569	AT4G32260	81.7	1.88e-89	262
BRARA.A00570	AT4G32190	68.7	3.16e-189	557
BRARA.A00571	AT4G32180	62.6	0	991
BRARA.A00572	AT4G32160	88.8	0	1194
BRARA.A00574	AT4G32130	85.9	5.19e-121	340
BRARA.A00575	AT4G32120	91.7	5.24e-231	630
BRARA.A00576	AT4G32100	52.8	1.19e-36	120
BRARA.A00579	AT4G32060	85.4	6.91e-288	787
BRARA.A00580	AT4G32050	79.8	0	931
BRARA.A00582	AT4G32030	66.7	2.19e-98	287
BRARA.A00584	AT4G32000	77.8	6.31e-238	655
BRARA.A00585	AT4G31990	95	0	875
BRARA.A00589	AT4G31890	88.8	2.69e-301	822
BRARA.A00590	AT4G31880	61.5	3.24e-224	656
BRARA.A00593	AT4G31840	85.2	4.5e-100	285
BRARA.A00595	AT4G31820	87.7	0	922
BRARA.A00596	AT3G43710	53.7	2.76e-126	367
BRARA.A00597	AT4G31800	79.9	9.24e-153	430
BRARA.A00598	AT4G31790	91.7	2.7e-189	519
BRARA.A00602	AT4G31730	73.5	1.42e-75	222
BRARA.A00603	AT4G31720	99.3	1.23e-92	263
BRARA.A00606	AT4G31670	78.3	0	926
BRARA.A00607	AT4G31680	58.1	1.43e-133	389
BRARA.A00608	AT4G31630	64.1	1.05e-188	538
BRARA.A00610	AT4G31620	56.4	5.42e-159	459
BRARA.A00614	AT4G31590	96.5	0	1338
BRARA.A00617	AT4G31550	80.7	3.51e-176	490
BRARA.A00618	AT4G31540	89.2	0	1197
BRARA.A00620	AT4G32090	71.8	1.57e-63	189
BRARA.A00625	AT4G31460	84.9	1.47e-115	327
BRARA.A00630	AT4G31420	75.3	4.7e-217	600
BRARA.A00632	AT4G31390	90.3	0	1199
BRARA.A00633	AT4G31380	91.9	1.36e-73	214
BRARA.A00634	AT4G31360	72.9	3.37e-78	230
BRARA.A00635	AT4G31350	93.4	3.87e-282	762
BRARA.A00636	AT4G31340	79.6	4.3e-182	514
BRARA.A00639	AT4G31300	98.7	1.34e-165	456
BRARA.A00640	AT4G31290	94.3	2.62e-160	442
BRARA.A00642	AT4G31250	77.2	0	914
BRARA.A00643	AT4G31240	88.4	3.6e-265	721
BRARA.A00644	AT4G31210	76	0	1785
BRARA.A00645	AT4G31200	80.7	0	954
BRARA.A00646	AT4G31180	78.8	3.56e-287	790
BRARA.A00647	AT4G31170	93.2	1.96e-289	784
BRARA.A00648	AT4G31140	87.6	3.87e-316	857
BRARA.A00649	AT4G31130	93.8	8.84e-127	354
BRARA.A00652	AT4G31110	68.7	0	995
BRARA.A00653	AT4G31060	78.1	2.22e-98	281
BRARA.A00654	AT4G31050	84.2	6.61e-171	473
BRARA.A00655	AT4G31040	88.8	6.54e-257	704
BRARA.A00656	AT4G31020	93.5	1.13e-210	575
BRARA.A00657	AT4G31000	78.7	1.98e-314	859
BRARA.A00660	AT4G30993	75.4	1.7e-157	439
BRARA.A00661	AT4G30980	73.5	9.6e-143	407
BRARA.A00666	AT4G30920	92.5	0	1028
BRARA.A00667	AT4G30900	91.1	4.13e-222	605
BRARA.A00668	AT4G30890	71.7	6.25e-281	776
BRARA.A00669	AT4G30880	84.8	2.99e-63	187
BRARA.A00670	AT4G30850	88.1	3.65e-232	634
BRARA.A00673	AT4G30825	75.5	0	945
BRARA.A00676	AT4G30790	84	0	1797
BRARA.A00677	AT4G30780	77.5	4.13e-302	830
BRARA.A00681	AT2G24050	70.3	0	947
BRARA.A00686	AT4G30660	84.7	5.72e-41	128
BRARA.A00687	AT4G30650	93.2	1.12e-42	132
BRARA.A00690	AT4G30630	57.5	8.71e-59	184
BRARA.A00692	AT4G30600	83.3	0	956
BRARA.A00693	AT4G30530	88	2.37e-165	456
BRARA.A00697	AT4G30460	91.4	2.49e-12	58.5
BRARA.A00700	AT4G30430	71	1.52e-134	380
BRARA.A00706	AT4G30400	81.6	6.66e-272	744
BRARA.A00707	AT4G30380	78.4	8.08e-69	202
BRARA.A00709	AT4G30360	87.8	0	1259
BRARA.A00710	AT4G30350	78.9	0	1303
BRARA.A00712	AT4G30340	89.9	0	928
BRARA.A00717	AT4G30270	87.6	6.76e-187	513
BRARA.A00719	AT4G30250	88.8	1.48e-305	836
BRARA.A00722	AT4G30210	93.1	0	1301
BRARA.A00723	AT4G30200	75.5	0	980
BRARA.A00725	AT4G30180	83.3	1.41e-74	219
BRARA.A00728	AT4G30150	69.1	0	2530
BRARA.A00729	AT4G30130	71.2	0	897
BRARA.A00732	AT4G30090	74.2	1.78e-176	496
BRARA.A00734	AT2G29045	61.5	2.08e-31	104
BRARA.A00735	AT4G30030	76.6	2.43e-240	661
BRARA.A00737	AT2G25680	88.6	7.3e-270	738
BRARA.A00739	AT4G30000	84.8	0	899
BRARA.A00740	AT4G29990	86.3	0	1408
BRARA.A00742	AT4G29950	72.1	0	1140
BRARA.A00744	AT4G29940	76.1	1.21e-260	742
BRARA.A00754	AT4G29870	90.2	1.45e-105	299
BRARA.A00755	AT4G29860	88.3	2.29e-254	693
BRARA.A00758	AT4G29830	98.4	1.96e-174	485
BRARA.A00759	AT4G29820	84.7	1.65e-139	389
BRARA.A00760	AT4G29810	88.5	7.62e-237	647
BRARA.A00761	AT4G29800	90.3	0	885
BRARA.A00762	AT4G29790	84	0	1867
BRARA.A00767	AT4G29720	82.1	0	872
BRARA.A00770	AT4G29690	83.7	3.81e-294	800
BRARA.A00772	AT4G29670	79.7	4.35e-116	331
BRARA.A00773	AT4G29660	95	1.57e-72	210
BRARA.A00774	AT4G29658	82	2.23e-60	183
BRARA.A00776	AT4G29550	50	3.14e-83	255
BRARA.A00778	AT4G29530	82.9	1.75e-149	416
BRARA.A00779	AT4G29520	81.3	4.2e-162	453
BRARA.A00780	AT4G29510	90.2	1.8e-250	684
BRARA.A00781	AT4G29490	91.9	0	928
BRARA.A00782	AT4G29480	96.7	1.01e-83	239
BRARA.A00783	AT3G04900	63.6	5.58e-80	236
BRARA.A00786	AT4G29440	60	2.58e-301	862
BRARA.A00787	AT4G29430	96.9	6.67e-90	256
BRARA.A00788	AT4G29420	74.9	6.33e-238	656
BRARA.A00789	AT4G29410	92.3	5.43e-89	254
BRARA.A00790	AT4G29400	79.1	3.2e-169	470
BRARA.A00792	AT4G29380	84.8	0	2383
BRARA.A00798	AT2G19760	91.6	1.1e-89	255
BRARA.A00799	AT4G29340	96.3	1.32e-96	273
BRARA.A00800	AT4G29330	87.6	3.11e-161	447
BRARA.A00801	AT4G29310	95.5	7.91e-304	821
BRARA.A00804	AT4G29280	56.4	2.17e-26	91.7
BRARA.A00806	AT4G29230	89.2	4.22e-282	773
BRARA.A00807	AT4G29220	90.7	0	868
BRARA.A00809	AT4G29190	82.7	1.83e-221	607
BRARA.A00810	AT2G19830	85.4	6.26e-108	308
BRARA.A00813	AT4G29100	78.4	6.59e-203	564
BRARA.A00814	AT4G29080	75.5	2.28e-150	422
BRARA.A00815	AT4G29070	78.8	6.85e-150	417
BRARA.A00816	AT4G29060	76.1	0	1256
BRARA.A00817	AT4G26870	87.7	0	891
BRARA.A00818	AT4G29050	83.3	0	931
BRARA.A00819	AT4G29040	98.9	3.41e-310	839
BRARA.A00820	AT4G29037	75.8	1.94e-91	262
BRARA.A00822	AT4G29035	77.5	3.58e-91	261
BRARA.A00823	AT4G29030	77.3	2.72e-31	107
BRARA.A00825	AT4G29010	91.1	0	1296
BRARA.A00826	AT4G29000	76.4	1.21e-293	810
BRARA.A00827	AT4G28990	59.8	2.99e-141	404
BRARA.A00828	AT4G28980	84.6	9.67e-299	813
BRARA.A00829	AT4G28950	94.7	6.46e-145	401
BRARA.A00830	AT3G23890	75.6	0	2045
BRARA.A00831	AT4G28940	72.9	3.4e-183	508
BRARA.A00832	AT4G28910	80.5	5.89e-224	619
BRARA.A00833	AT4G28890	82.1	1.27e-238	656
BRARA.A00835	AT4G28850	85.3	1.76e-197	541
BRARA.A00837	AT4G28830	95.7	2e-143	397
BRARA.A00841	AT4G28811	51.7	1.53e-115	349
BRARA.A00842	AT4G28780	94	3.47e-247	673
BRARA.A00843	AT4G28770	84.3	4.4e-164	457
BRARA.A00844	AT4G28760	72.8	0	1143
BRARA.A00847	AT4G28720	90.4	3.69e-294	797
BRARA.A00850	AT4G28710	86.9	0	2343
BRARA.A00851	AT4G28706	82.2	1.62e-230	635
BRARA.A00852	AT4G28703	83.5	8.3e-66	193
BRARA.A00855	AT4G28680	86.2	0	902
BRARA.A00857	AT4G28670	78.7	0	986
BRARA.A00858	AT4G28660	80.8	5.4e-104	298
BRARA.A00859	AT4G28650	93	1.28e-314	896
BRARA.A00860	AT4G28640	80.1	1.3e-119	342
BRARA.A00861	AT4G28630	82.2	0	1055
BRARA.A00862	AT4G28610	72.7	3.26e-160	457
BRARA.A00863	AT4G28600	86.8	0	1225
BRARA.A00864	AT4G28560	67.1	1.92e-143	417
BRARA.A00866	AT4G28530	80.2	5.01e-209	575
BRARA.A00867	AT4G28520	81.4	2.32e-275	757
BRARA.A00868	AT4G28510	93.7	1.08e-185	511
BRARA.A00869	AT4G28500	85.8	7.87e-195	535
BRARA.A00870	AT4G28490	79.8	5.48e-286	822
BRARA.A00872	AT4G28480	83.7	6.91e-208	572
BRARA.A00876	AT4G28430	70.7	6.74e-178	504
BRARA.A00877	AT4G28420	82.2	2.12e-279	762
BRARA.A00878	AT1G52415	73.5	2.33e-63	187
