"","CWRU004174_S1","CWRU004175_S2","CWRU004176_S3","CWRU004177_S4","CWRU004178_S5","CWRU004179_S6","CWRU004180_S7","CWRU004181_S8","CWRU004182_S9","CWRU004183_S10","CWRU004184_S11","CWRU004185_S12","CWRU004186_S13","CWRU004187_S14"
"AT2G08765",0,0,0,0,0,2,0,0,0,0,0,0,0,2
"AT2G08770",979.04,1239.14,2423.43,1223.68,1836.84,1999.11,3564.66,2151.71,3627.7,1254.72,1330.88,763.43,3037.61,2679.92
"AT2G08775",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08780",0,0,4,2,0,3,2,1,4,1,1,0,5,2
"AT2G08790",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08795",0,1,0,0,0,0,3,1,0,0,0,2,0,0
"AT2G08800",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08805",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08815",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08820",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08825",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08830",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AT2G08835",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08845",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08850",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08855",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08860",11.87,6.09,3.99,8.85,4.21,7.52,1.94,6.4,23.52,5.08,7.22,4.29,10.86,5.38
"AT2G08865",0,0,3,1,0,0,0,0,1,0,0,0,0,2
"AT2G08870",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08875",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08880",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08885",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08890",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08895",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08900",1,0,1,0,1,0,1,0,2,0,0,0,0,3
"AT2G08905",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AT2G08910",0,0,0,0,0,2,1,0,0,0,1,1,0,0
"AT2G08915",1,0,1,0,0,0,1,0,0,0,0,0,0,1
"AT2G08920",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08925",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08930",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08935",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08940",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08945",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08950",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AT2G08955",0,0,2,0,0,0,0,0,0,1,0,0,2,0
"AT2G08960",1,0,0,0,1,1,0,1,0,0,0,1,0,0
"AT2G08965",0,0,2,0,0,0,0,0,0,0,0,0,0,1
"AT2G08970",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08975",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08980",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08985",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08986",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08990",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G08995",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09000",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09010",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09015",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09020",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09025",2,1,0,0,1,1,0,0,1,0,0,0,0,2
"AT2G09035",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09040",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09045",0,0,1,0,0,2,0,0,0,0,0,0,0,0
"AT2G09050",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09055",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AT2G09060",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09065",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09070",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09075",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09080",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09085",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09090",12,22,63,24,34,34,79,38,56,19,20,14,61,57
"AT2G09095",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09100",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09110",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09115",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09120",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09125",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09130",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09135",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09140",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AT2G09150",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09155",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09160",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09165",0,0,0,0,0,0,0,0,0,0,0,0,4,0
"AT2G09170",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09175",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09180",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09185",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09190",1,0,1,0,0,1,1,0,1,2,0,1,0,1
"AT2G09195",3,0,4,1,0,1,2,3,0,1,1,0,4,3
"AT2G09200",0,0,1,0,0,0,0,1,0,0,0,0,0,0
"AT2G09205",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AT2G09210",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09215",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09220",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09225",1,0,2,0,1,0,0,0,0,0,0,0,2,4
"AT2G09230",1,1,2,0,0,3,0,0,3,2,2,0,2,2
"AT2G09235",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09240",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09245",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09250",24,59,1362,46,126,63,50,81,179,47,36,22,101,119
"AT2G09255",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09260",0,3,6,0,0,2,1,0,2,1,0,0,0,2
"AT2G09265",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09270",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09280",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09285",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09290",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09295",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09300",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AT2G09305",1,0,0,1,2,0,0,0,0,0,0,0,0,0
"AT2G09310",1,0,0,0,0,4,0,4,4,0,0,0,2,4
"AT2G09315",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09320",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09325",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AT2G09330",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09335",1,3,5,4,0,2,12,1,2,0,1,0,5,5
"AT2G09340",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09345",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09350",0,0,2,1,0,1,0,0,0,0,1,0,0,0
"AT2G09355",0,0,0,0,0,0,1,0,0,0,0,0,1,0
"AT2G09360",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09365",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09370",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AT2G09375",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09380",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09385",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09388",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09390",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09395",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09400",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09405",0,0,0,0,2,0,0,0,0,2,0,0,0,1
"AT2G09410",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09415",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09420",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"AT2G09425",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09430",0,0,0,2,0,2,0,0,3,0,0,0,0,0
"AT2G09435",0,0,0,1,0,1,0,0,1,0,0,0,0,1
"AT2G09440",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09445",0,0,1,0,0,2,0,0,0,0,0,0,0,0
"AT2G09450",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09455",0,1,4,0,2,0,7,0,2,0,0,0,4,5
"AT2G09460",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09465",16.56,14.33,31.24,18.34,32.98,16.93,40.67,31.85,67.46,18.61,15.25,9.41,50.12,39.43
"AT2G09470",0,0,0,0,0,1,0,0,0,1,1,0,0,0
"AT2G09475",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09480",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09490",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09495",0,0,1,0,0,1,0,0,1,0,0,0,1,0
"AT2G09500",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09505",0,0,1,0,0,1,0,3,1,0,1,0,1,0
"AT2G09510",0,1,1,0,0,0,0,0,0,0,0,0,0,0
"AT2G09515",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09525",0,4,4,1,0,1,1,8,1,2,0,1,5,0
"AT2G09530",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09535",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09540",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09545",1.04,0,1.14,0,1,1.48,4.49,1,0.49,0,3.5,0,0.12,2.45
"AT2G09550",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09555",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09560",0,1,0,0,0,1,0,0,0,0,2,0,0,0
"AT2G09565",0,0,0,0,0,0,1,1,0,0,0,0,0,1
"AT2G09570",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09575",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AT2G09585",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09590",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09605",0,0,0,0,1,0,0,0,1,0,2,0,0,2
"AT2G09610",0,0,0,0,0,0,1,1,0,0,0,0,0,0
"AT2G09615",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09620",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AT2G09625",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09630",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09635",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09640",13.81,10.99,27.48,14.2,27.62,28.78,40.22,29.54,44,12.76,21.96,5.26,30.16,41.44
"AT2G09645",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09650",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09655",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09660",1,1,0,1,1,1,2,0,4,1,0,0,2,2
"AT2G09665",6,5,19,9,3,7,18,1,12,4,9,2,19,9
"AT2G09670",0,0,0,0,0,0,0,1,3,0,0,0,0,0
"AT2G09675",0,1,0,0,0,0,0,1,0,0,1,0,0,0
"AT2G09680",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09685",0,0,0,1.99,0,2.84,0,0,0,0,0,1,0.94,0
"AT2G09690",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09695",24.21,15.58,56.95,31.76,48.27,60.29,80.32,32.74,104.45,13.13,41.3,25.86,54.32,57.82
"AT2G09700",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09705",2,1,3,4,6,1,1,4,5,3,4,0,7,2
"AT2G09710",0,0,2,0,0,0,0,0,0,0,0,0,0,1
"AT2G09715",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09720",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09725",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09730",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09735",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AT2G09740",0,0,4,1,0,1,2,0,0,0,0,2,2,4
"AT2G09745",0,0,3,0,0,1,2,1,7,0,2,0,3,1
"AT2G09750",0,0,0,0,0,1,0,0,0,2,0,0,2,1
"AT2G09755",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09760",0,2,1,2,1,1,3,1,3,0,2,0,5,1
"AT2G09765",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09770",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09775",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09780",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09785",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09795",43,52,161,65,100,114,216,120,143,71,70,38,183,130
"AT2G09805",0,0,2,0,0,1,0,1,0,0,0,1,0,0
"AT2G09815",0,0,0,0,2,0,0,0,0,0,0,0,1,0
"AT2G09825",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09835",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"AT2G09838",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09840",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09845",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09875",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09885",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09895",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09905",0,1,4,1,1,1,4,1,0,0,0,2,2,1
"AT2G09915",0,0,0,0,0,0,0,0,1,1,0,0,2,0
"AT2G09925",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09935",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09945",0,0,0,0,0,0,0,0,2,0,0,0,0,0
"AT2G09955",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09965",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G09970",0,0,1,0,0,0,0,0,1,0,0,0,0,0
"AT2G09975",0,0,7,0,1,3,2,2,5,1,0,0,6,6
"AT2G09990",181.46,219.16,543.97,242.08,285.34,337.41,649.16,421.19,584.61,197.24,219.82,108.61,501.4,480.79
"AT2G09995",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G10020",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G10025",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G10260",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G10440",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G10450",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G10455",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G10535",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AT2G10537",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G10545",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G10550",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G10553",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G10556",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G10557",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G10560",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G10602",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G10606",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AT2G10608",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G10615",0,0,0,0,0,0,4,1,1,1,0,0,1,0
"AT2G10625",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G10920",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G10921",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G10930",1,0,7,0,0,2,4,4,3,0,0,0,2,2
"AT2G10931",17,25,70,14,41,26,50,43,51,24,26,10,64,51
"AT2G10940",2491,2821,8371,3101,3600,7331,11724,6979,10116,3710,2772,1235,8227,8066
"AT2G10950",77,67,187,76,104,145,257,140,181,81,54,40,194,175
"AT2G10955",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G10965",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G10970",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G10975",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G11000",94,95,259,118,137,184,354,212,286,111,107,77,272,248
"AT2G11005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G11010",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G11015",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G11025",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G11035",0,0,2,0,0,0,0,2,0,0,0,0,0,0
"AT2G11045",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G11200",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G11205",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G11215",0,0,2,1,0,0,0,0,0,0,0,0,0,0
"AT2G11225",84,87,346,114,189,263,456,262,290,127,106,67,369,261
"AT2G11270",15,10,60,25,22.42,18.48,86.26,30,29.4,16.41,13.18,9.19,59.1,46.2
"AT2G11271",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G11405",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G11462",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G11520",104,125,256,110,162,189,373,211,311,95,131,74,364,277
"AT2G11522",0,0,0,0,1,2,0,0,0,0,0,0,1,1
"AT2G11570",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G11620",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AT2G11623",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G11626",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G11773",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G11778",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G11810",2,4,6,5,13,10,34,8,7,3,5,0,21,13
"AT2G11815",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AT2G11851",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G11852",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G11890",103,84,236,97,126,146,321,162,261,97,112,47,199,231
"AT2G11891",0,0,0,0,0,1,0,1,0,0,1,0,3,3
"AT2G11910",106,153,376,150,169,213,440,233,375,130,158,91,336,277
"AT2G12170",4,3,14,6,9,9,19,16,15,4,1,3,30,17
"AT2G12190",6.31,1.07,5.15,7.49,0,7.2,8.27,4.22,5.28,3.14,4.23,3.27,13.45,11.27
"AT2G12200",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"AT2G12205",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G12280",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G12290",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G12400",173,160,383,131,236,316,538,330,426,170,149,81,514,420
"AT2G12405",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G12461",0,0,1,0,0,0,2,0,0,0,0,0,0,0
"AT2G12462",12,12,35,23,8,59,70,32,64,12,12,2,55,24
"AT2G12465",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G12475",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G12480",1,1,3,3,0,3,1,2,1,1,0,0,2,1
"AT2G12550",33,31,97,45,60,65,126,90,81,39,47,22,126,121
"AT2G12646",2,7,0,3,0,1,1,4,8,4,2,0,1,0
"AT2G12875",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G12880",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G12900",0,0,0,0,0,0,1,0,0,0,0,0,0,1
"AT2G12905",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"AT2G12935",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G12940",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G12945",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13100",99,105,362,131,152,205,407,208,310,118,119,63,359,301
"AT2G13105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13125",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13126",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13150",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13275",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13290",80,63,161,90,87,96,209,117,140,77,63,36,142,136
"AT2G13295",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13350",0,0,1,1,0,0,1,1,0,0,0,2,0,0
"AT2G13360",6159,6407,11932,7182,10730,6193,16517,6884,8739,3774,7151,5335,9481,11136
"AT2G13370",483,451,1242,534,726,849,1617,875,1179,534,454,257,1257,1288
"AT2G13422",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13430",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13440",76,82,212,128,135,186,280,203,277,101,116,53,260,274
"AT2G13450",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13463",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13500",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13510",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13540",187,216,459,189,249,355,607,363,500,186,208,121,464,460
"AT2G13542",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13547",0,1,2,1,0,1,0,0,4,0,0,0,2,2
"AT2G13550",0,0,0,0,0,2,1,0,3,0,0,0,3,0
"AT2G13555",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13560",512,510,1326,550,721,967,1917,1005,1546,545,592,255,1363,1275
"AT2G13570",0,1,0,0,0,0,0,0,0,0,0,0,1,3
"AT2G13600",14,17,42,15,16,19,30,36,36,14,16,10,34,27
"AT2G13610",254,250,474,264,317,444,554,429,488,239,311,215,498,601
"AT2G13620",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13630",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AT2G13640",2,2,5,1,4,8,2,3,3,3,1,1,8,4
"AT2G13650",63,60,194,79,92,133,230,121,187,65,64,33,219,203
"AT2G13660",5,3,15,3,4,7,8,6,16,6,3,3,6,7
"AT2G13665",38,33,89,44,43,62,114,63,69,39,40,11,83,76
"AT2G13680",1,0,0,0,0,0,1,0,1,2,4,0,1,0
"AT2G13690",13,15,37,11,17,46,55,49,50,18,28,4,54,44
"AT2G13720",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13760",0,0,0,0,2,2,0,0,0,1,0,0,0,0
"AT2G13770",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13790",132.52,85.91,251.68,104.05,156.32,154.59,387.59,191.59,257.25,113.4,109.61,65.74,338.18,263
"AT2G13800",68.48,60.09,135.32,92.95,84.68,96.41,135.41,109.41,155.75,39.6,59.39,30.26,138.82,137
"AT2G13810",0,0,0,1,0,0,0,0,1,0,0,0,1,0
"AT2G13820",46,70,110,46,59,104,150,111,166,59,39,26,105,124
"AT2G13840",49,44,92,44,48,83,112,67,114,54,49,16,92,89
"AT2G13845",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13895",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13900",0,0,0,0,1,1,0,0,0,1,0,0,1,0
"AT2G13905",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13950",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13960",4.56,9.75,15.34,8.14,8.33,14.88,19.28,13.91,19.26,7.18,4.83,6,10.24,11.12
"AT2G13965",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AT2G13980",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G13985",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G14000",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G14045",105,82,252,76,125,154,369,153,254,97,80,53,275,209
"AT2G14050",19,19,102,24,34,46,87,52,79,26,25,9,70,77
"AT2G14060",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AT2G14070",1,0,0,0,0,0,0,0,0,0,1,0,0,0
"AT2G14080",448,344,1038,414,589,793,1347,649,925,427,374,235,1216,998
"AT2G14095",3,2,2,1,0,0,1,2,3,0,0,0,2,2
"AT2G14100",34,48,229,37,77.96,82.91,141,108,118.91,49,48,25,227,124
"AT2G14110",22,29,55,30,30,40,116,57,68,30,20,7,68,46
"AT2G14115",11,3,27,9,10,17,36,19,27,4,10,2,24,16
"AT2G14120",265,273,782,316,385,496,1012,516,763,285,294,178,725,763
"AT2G14160",8,2,12,2,11,6,17,3,8,3,4,2,18,12
"AT2G14170",1807,1633,3639,1958,3074,1950,4719,1929,2533,1304,1963,1345,3238,3234
"AT2G14210",24,64,269,29,68,71,120,82,135,52,27,14,285,136
"AT2G14247",4,2,7,5,2,4,7,4,12,1,4,2,7,6
"AT2G14255",72,79,295,61,123,164,328,206,235,100,87,40,305,256
"AT2G14260",211,218,470,230,255,397,630,383,537,205,242,126,553,507
"AT2G14265",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G14270",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G14282",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G14285",24,24,65,24,27,35,54,38,63,29,25,11,84,56
"AT2G14288",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G14289",0,0,0,0,0,0,0,0,0,0,0,0,0,0
