TF	family	name
AT1G12860	bHLH	AT1G12860
AT1G12890	ERF	AT1G12890
AT1G12980	ERF	AT1G12980
AT1G13260	RAV	AT1G13260
AT1G13290	C2H2	AT1G13290
AT1G13300	G2-like	AT1G13300
AT1G13450	Trihelix	AT1G13450
AT1G13600	bZIP	AT1G13600
AT1G13960	WRKY	AT1G13960
AT1G14350	MYB	AT1G14350
AT1G14410	Whirly	AT1G14410
AT1G14440	ZF-HD	AT1G14440
AT1G14580	C2H2	AT1G14580
AT1G14600	G2-like	AT1G14600
AT1G14685	BBR-BPC	AT1G14685
AT1G14687	ZF-HD	AT1G14687
AT1G14920	GRAS	AT1G14920
AT1G15360	ERF	AT1G15360
AT1G15720	MYB_related	AT1G15720
AT1G15790	bHLH	AT1G15790
AT1G16060	AP2	AT1G16060
AT1G16490	MYB	AT1G16490
AT1G16530	LBD	AT1G16530
AT1G16640	B3	AT1G16640
AT1G17040	STAT	AT1G17040
AT1G17310	M-type_MADS	AT1G17310
AT1G17460	MYB_related	AT1G17460
AT1G17520	MYB_related	AT1G17520
AT1G17590	NF-YA	AT1G17590
AT1G17920	HD-ZIP	AT1G17920
AT1G17950	MYB	AT1G17950
AT1G18330	MYB_related	AT1G18330
AT1G18400	bHLH	AT1G18400
AT1G18570	MYB	AT1G18570
AT1G18710	MYB	AT1G18710
AT1G18750	M-type_MADS	AT1G18750
AT1G18790	Nin-like	AT1G18790
AT1G18835	ZF-HD	AT1G18835
AT1G18860	WRKY	AT1G18860
AT1G18960	MYB_related	AT1G18960
AT1G19000	MYB_related	AT1G19000
AT1G19040	NAC	AT1G19040
AT1G19210	ERF	AT1G19210
AT1G19220	ARF	AT1G19220
AT1G19350	BES1	AT1G19350
AT1G19490	bZIP	AT1G19490
AT1G19510	MYB_related	AT1G19510
AT1G19700	TALE	AT1G19700
AT1G19790	SRS	AT1G19790
AT1G19850	ARF	AT1G19850
AT1G20600	B3	AT1G20600
AT1G20640	Nin-like	AT1G20640
AT1G20700	WOX	AT1G20700
AT1G20710	WOX	AT1G20710
AT1G20980	SBP	AT1G20980
AT1G21200	Trihelix	AT1G21200
AT1G21340	Dof	AT1G21340
AT1G21450	GRAS	AT1G21450
AT1G21910	ERF	AT1G21910
AT1G21970	NF-YB	AT1G21970
AT1G22070	bZIP	AT1G22070
AT1G22130	MIKC_MADS	AT1G22130
AT1G22190	ERF	AT1G22190
AT1G22490	bHLH	AT1G22490
AT1G22590	M-type_MADS	AT1G22590
AT1G22640	MYB	AT1G22640
AT1G22810	ERF	AT1G22810
AT1G22985	ERF	AT1G22985
AT1G23380	TALE	AT1G23380
AT1G23420	YABBY	AT1G23420
AT1G24260	MIKC_MADS	AT1G24260
AT1G24590	ERF	AT1G24590
AT1G24625	C2H2	AT1G24625
AT1G25250	C2H2	AT1G25250
AT1G25310	bHLH	AT1G25310
AT1G25330	bHLH	AT1G25330
AT1G25340	MYB	AT1G25340
AT1G25440	CO-like	AT1G25440
AT1G25470	ERF	AT1G25470
AT1G25550	G2-like	AT1G25550
AT1G25560	RAV	AT1G25560
AT1G25580	NAC	AT1G25580
AT1G26260	bHLH	AT1G26260
AT1G26310	MIKC_MADS	AT1G26310
AT1G26590	C2H2	AT1G26590
AT1G26610	C2H2	AT1G26610
AT1G26680	B3	AT1G26680
AT1G26780	MYB	AT1G26780
AT1G26790	Dof	AT1G26790
AT1G26870	NAC	AT1G26870
AT1G26945	bHLH	AT1G26945
AT1G26960	HD-ZIP	AT1G26960
AT1G27045	HD-ZIP	AT1G27045
AT1G27360	SBP	AT1G27360
AT1G27370	SBP	AT1G27370
AT1G27660	bHLH	AT1G27660
AT1G27730	C2H2	AT1G27730
AT1G27740	bHLH	AT1G27740
AT1G28050	CO-like	AT1G28050
AT1G28160	ERF	AT1G28160
AT1G28300	B3	AT1G28300
AT1G28310	Dof	AT1G28310
AT1G28360	ERF	AT1G28360
AT1G28370	ERF	AT1G28370
AT1G28420	HB-other	AT1G28420
AT1G28450	M-type_MADS	AT1G28450
AT1G28460	M-type_MADS	AT1G28460
AT1G28470	NAC	AT1G28470
AT1G28520	VOZ	AT1G28520
AT1G29160	Dof	AT1G29160
AT1G29280	WRKY	AT1G29280
AT1G29560	C3H	AT1G29560
AT1G29570	C3H	AT1G29570
AT1G29600	C3H	AT1G29600
AT1G29860	WRKY	AT1G29860
AT1G29950	bHLH	AT1G29950
AT1G29962	M-type_MADS	AT1G29962
AT1G30210	TCP	AT1G30210
AT1G30330	ARF	AT1G30330
AT1G30490	HD-ZIP	AT1G30490
AT1G30500	NF-YA	AT1G30500
AT1G30650	WRKY	AT1G30650
AT1G30670	bHLH	AT1G30670
AT1G30970	C2H2	AT1G30970
AT1G31050	bHLH	AT1G31050
AT1G31140	MIKC_MADS	AT1G31140
AT1G31310	Trihelix	AT1G31310
AT1G31320	LBD	AT1G31320
AT1G31630	M-type_MADS	AT1G31630
AT1G31640	M-type_MADS	AT1G31640
AT1G32150	bZIP	AT1G32150
AT1G32240	G2-like	AT1G32240
AT1G32330	HSF	AT1G32330
AT1G32360	C3H	AT1G32360
AT1G32510	NAC	AT1G32510
AT1G32540	LSD	AT1G32540
AT1G32640	bHLH	AT1G32640
AT1G32730	SRS	AT1G32730
AT1G32770	NAC	AT1G32770
AT1G32870	NAC	AT1G32870
AT1G33060	NAC	AT1G33060
AT1G33070	M-type_MADS	AT1G33070
AT1G33240	Trihelix	AT1G33240
AT1G33280	NAC	AT1G33280
AT1G33760	ERF	AT1G33760
AT1G34170	ARF	AT1G34170
AT1G34180	NAC	AT1G34180
AT1G34190	NAC	AT1G34190
AT1G34310	ARF	AT1G34310
AT1G34370	C2H2	AT1G34370
AT1G34390	ARF	AT1G34390
AT1G34410	ARF	AT1G34410
AT1G34650	HD-ZIP	AT1G34650
AT1G34670	MYB	AT1G34670
AT1G34790	C2H2	AT1G34790
AT1G35240	ARF	AT1G35240
AT1G35460	bHLH	AT1G35460
AT1G35515	MYB	AT1G35515
AT1G35520	ARF	AT1G35520
AT1G35540	ARF	AT1G35540
AT1G35560	TCP	AT1G35560
AT1G36000	LBD	AT1G36000
AT1G36060	ERF	AT1G36060
AT1G42990	bZIP	AT1G42990
AT1G43160	ERF	AT1G43160
AT1G43700	bZIP	AT1G43700
AT1G43950	B3	AT1G43950
AT1G44810	GeBP	AT1G44810
AT1G44830	ERF	AT1G44830
AT1G45249	bZIP	AT1G45249
AT1G46264	HSF	AT1G46264
AT1G46408	M-type_MADS	AT1G46408
AT1G46480	WOX	AT1G46480
AT1G46768	ERF	AT1G46768
AT1G47655	Dof	AT1G47655
AT1G47760	M-type_MADS	AT1G47760
AT1G47870	E2F/DP	AT1G47870
AT1G48000	MYB	AT1G48000
AT1G48150	M-type_MADS	AT1G48150
AT1G48195	C3H	AT1G48195
AT1G49010	MYB	AT1G49010
AT1G49120	ERF	AT1G49120
AT1G49130	CO-like	AT1G49130
AT1G49190	ARR-B	AT1G49190
AT1G49475	B3	AT1G49475
AT1G49480	B3	AT1G49480
AT1G49560	G2-like	AT1G49560
AT1G49720	bZIP	AT1G49720
AT1G49770	bHLH	AT1G49770
AT1G49950	MYB_related	AT1G49950
AT1G50420	GRAS	AT1G50420
AT1G50600	GRAS	AT1G50600
AT1G50640	ERF	AT1G50640
AT1G50680	RAV	AT1G50680
AT1G51070	bHLH	AT1G51070
AT1G51120	RAV	AT1G51120
AT1G51140	bHLH	AT1G51140
AT1G51190	AP2	AT1G51190
AT1G51220	C2H2	AT1G51220
AT1G51600	GATA	AT1G51600
AT1G51700	Dof	AT1G51700
AT1G52150	HD-ZIP	AT1G52150
AT1G52520	FAR1	AT1G52520
AT1G52880	NAC	AT1G52880
AT1G52890	NAC	AT1G52890
AT1G53160	SBP	AT1G53160
AT1G53170	ERF	AT1G53170
AT1G53230	TCP	AT1G53230
AT1G53910	ERF	AT1G53910
AT1G54060	Trihelix	AT1G54060
AT1G54160	NF-YA	AT1G54160
AT1G54330	NAC	AT1G54330
AT1G54760	M-type_MADS	AT1G54760
AT1G54830	NF-YC	AT1G54830
AT1G55110	C2H2	AT1G55110
AT1G55580	GRAS	AT1G55580
AT1G55600	WRKY	AT1G55600
AT1G55950	GeBP	AT1G55950
AT1G56010	NAC	AT1G56010
AT1G56160	MYB	AT1G56160
AT1G56170	NF-YC	AT1G56170
AT1G56650	MYB	AT1G56650
AT1G57560	MYB	AT1G57560
AT1G58100	TCP	AT1G58100
AT1G58110	bZIP	AT1G58110
AT1G58220	MYB_related	AT1G58220
AT1G59530	bZIP	AT1G59530
AT1G59640	bHLH	AT1G59640
AT1G59750	ARF	AT1G59750
AT1G59810	M-type_MADS	AT1G59810
AT1G60040	M-type_MADS	AT1G60040
AT1G60240	NAC	AT1G60240
AT1G60280	NAC	AT1G60280
AT1G60300	NAC	AT1G60300
AT1G60340	NAC	AT1G60340
AT1G60350	NAC	AT1G60350
AT1G60380	NAC	AT1G60380
AT1G60880	M-type_MADS	AT1G60880
AT1G60920	M-type_MADS	AT1G60920
AT1G61110	NAC	AT1G61110
AT1G61660	bHLH	AT1G61660
AT1G61730	GeBP	AT1G61730
AT1G62300	WRKY	AT1G62300
AT1G62360	TALE	AT1G62360
AT1G62700	NAC	AT1G62700
AT1G62975	bHLH	AT1G62975
AT1G62990	TALE	AT1G62990
AT1G63030	ERF	AT1G63030
AT1G63100	GRAS	AT1G63100
AT1G63650	bHLH	AT1G63650
AT1G63910	MYB	AT1G63910
AT1G64000	WRKY	AT1G64000
AT1G64100	NAC	AT1G64100
AT1G64105	NAC	AT1G64105
AT1G64380	ERF	AT1G64380
AT1G64530	Nin-like	AT1G64530
AT1G64620	Dof	AT1G64620
AT1G65300	M-type_MADS	AT1G65300
AT1G65330	M-type_MADS	AT1G65330
AT1G65360	M-type_MADS	AT1G65360
AT1G65620	LBD	AT1G65620
AT1G65910	NAC	AT1G65910
AT1G66140	C2H2	AT1G66140
AT1G66230	MYB	AT1G66230
AT1G66350	GRAS	AT1G66350
AT1G66370	MYB	AT1G66370
AT1G66380	MYB	AT1G66380
AT1G66390	MYB	AT1G66390
AT1G66420	GeBP	AT1G66420
AT1G66470	bHLH	AT1G66470
AT1G66550	WRKY	AT1G66550
AT1G66560	WRKY	AT1G66560
AT1G66600	WRKY	AT1G66600
AT1G66810	C3H	AT1G66810
AT1G67100	LBD	AT1G67100
AT1G67260	TCP	AT1G67260
AT1G67310	CAMTA	AT1G67310
AT1G67710	ARR-B	AT1G67710
AT1G67970	HSF	AT1G67970
AT1G68120	BBR-BPC	AT1G68120
AT1G68130	C2H2	AT1G68130
AT1G68150	WRKY	AT1G68150
AT1G68200	C3H	AT1G68200
AT1G68210	ARR-B	AT1G68210
AT1G68240	bHLH	AT1G68240
AT1G68320	MYB	AT1G68320
AT1G68510	LBD	AT1G68510
AT1G68520	CO-like	AT1G68520
AT1G68550	ERF	AT1G68550
AT1G68640	bZIP	AT1G68640
AT1G68670	G2-like	AT1G68670
AT1G68800	TCP	AT1G68800
AT1G68810	bHLH	AT1G68810
AT1G68840	RAV	AT1G68840
AT1G68880	bZIP	AT1G68880
AT1G68920	bHLH	AT1G68920
AT1G69010	bHLH	AT1G69010
AT1G69120	MIKC_MADS	AT1G69120
AT1G69170	SBP	AT1G69170
AT1G69180	YABBY	AT1G69180
AT1G69310	WRKY	AT1G69310
AT1G69490	NAC	AT1G69490
AT1G69540	M-type_MADS	AT1G69540
AT1G69560	MYB	AT1G69560
AT1G69570	Dof	AT1G69570
AT1G69580	G2-like	AT1G69580
AT1G69600	ZF-HD	AT1G69600
AT1G69690	TCP	AT1G69690
AT1G69780	HD-ZIP	AT1G69780
AT1G69810	WRKY	AT1G69810
AT1G70000	MYB_related	AT1G70000
AT1G70510	TALE	AT1G70510
AT1G70920	HD-ZIP	AT1G70920
AT1G71030	MYB_related	AT1G71030
AT1G71130	ERF	AT1G71130
AT1G71200	bHLH	AT1G71200
AT1G71260	Whirly	AT1G71260
AT1G71450	ERF	AT1G71450
AT1G71520	ERF	AT1G71520
AT1G71692	MIKC_MADS	AT1G71692
AT1G71930	NAC	AT1G71930
AT1G72010	TCP	AT1G72010
AT1G72050	C2H2	AT1G72050
AT1G72210	bHLH	AT1G72210
AT1G72350	M-type_MADS	AT1G72350
AT1G72360	ERF	AT1G72360
AT1G72570	AP2	AT1G72570
AT1G72650	MYB_related	AT1G72650
AT1G72740	MYB_related	AT1G72740
AT1G72830	NF-YA	AT1G72830
AT1G72980	LBD	AT1G72980
AT1G73360	HD-ZIP	AT1G73360
AT1G73410	MYB	AT1G73410
AT1G73730	EIL	AT1G73730
AT1G73830	bHLH	AT1G73830
AT1G73870	CO-like	AT1G73870
AT1G74080	MYB	AT1G74080
AT1G74250	C2H2	AT1G74250
AT1G74430	MYB	AT1G74430
AT1G74480	Nin-like	AT1G74480
AT1G74500	bHLH	AT1G74500
AT1G74650	MYB	AT1G74650
AT1G74660	ZF-HD	AT1G74660
AT1G74840	MYB_related	AT1G74840
AT1G74930	ERF	AT1G74930
AT1G75080	BES1	AT1G75080
AT1G75240	ZF-HD	AT1G75240
AT1G75250	MYB_related	AT1G75250
AT1G75340	C3H	AT1G75340
AT1G75390	bZIP	AT1G75390
AT1G75410	TALE	AT1G75410
AT1G75430	TALE	AT1G75430
AT1G75490	ERF	AT1G75490
AT1G75520	SRS	AT1G75520
AT1G75540	DBB	AT1G75540
AT1G75710	C2H2	AT1G75710
AT1G76320	FAR1	AT1G76320
AT1G76350	Nin-like	AT1G76350
AT1G76420	NAC	AT1G76420
AT1G76580	SBP	AT1G76580
AT1G76870	Trihelix	AT1G76870
AT1G76880	Trihelix	AT1G76880
AT1G76890	Trihelix	AT1G76890
AT1G77080	MIKC_MADS	AT1G77080
AT1G77200	ERF	AT1G77200
AT1G77450	NAC	AT1G77450
AT1G77570	HSF	AT1G77570
AT1G77640	ERF	AT1G77640
AT1G77850	ARF	AT1G77850
AT1G77920	bZIP	AT1G77920
AT1G77950	MIKC_MADS	AT1G77950
AT1G77980	MIKC_MADS	AT1G77980
AT1G78080	ERF	AT1G78080
AT1G78540	STAT	AT1G78540
AT1G78600	DBB	AT1G78600
AT1G78700	BES1	AT1G78700
AT1G79180	MYB	AT1G79180
AT1G79430	G2-like	AT1G79430
AT1G79580	NAC	AT1G79580
AT1G79700	AP2	AT1G79700
AT1G79840	HD-ZIP	AT1G79840
AT1G80010	FAR1	AT1G80010
AT1G80580	ERF	AT1G80580
AT1G80590	WRKY	AT1G80590
AT1G80730	C2H2	AT1G80730
AT1G80840	WRKY	AT1G80840
AT2G01060	G2-like	AT2G01060
AT2G01370	GeBP	AT2G01370
AT2G01430	HD-ZIP	AT2G01430
AT2G01500	WOX	AT2G01500
AT2G01570	GRAS	AT2G01570
AT2G01760	ARR-B	AT2G01760
AT2G01930	BBR-BPC	AT2G01930
AT2G01940	C2H2	AT2G01940
AT2G02060	G2-like	AT2G02060
AT2G02070	C2H2	AT2G02070
AT2G02080	C2H2	AT2G02080
AT2G02450	NAC	AT2G02450
AT2G02540	ZF-HD	AT2G02540
AT2G02740	Whirly	AT2G02740
AT2G02820	MYB	AT2G02820
AT2G03060	M-type_MADS	AT2G03060
AT2G03340	WRKY	AT2G03340
AT2G03500	G2-like	AT2G03500
AT2G03710	MIKC_MADS	AT2G03710
AT2G04038	bZIP	AT2G04038
AT2G04880	WRKY	AT2G04880
AT2G04890	GRAS	AT2G04890
AT2G06020	G2-like	AT2G06020
AT2G06200	GRF	AT2G06200
AT2G12900	bZIP	AT2G12900
AT2G12940	bZIP	AT2G12940
AT2G13150	bZIP	AT2G13150
AT2G13570	NF-YB	AT2G13570
AT2G13960	MYB_related	AT2G13960
AT2G14210	MIKC_MADS	AT2G14210
AT2G14760	bHLH	AT2G14760
AT2G15740	C2H2	AT2G15740
AT2G16210	B3	AT2G16210
AT2G16400	TALE	AT2G16400
AT2G16485	C3H	AT2G16485
AT2G16720	MYB	AT2G16720
AT2G16770	bZIP	AT2G16770
AT2G16910	bHLH	AT2G16910
AT2G17040	NAC	AT2G17040
AT2G17150	Nin-like	AT2G17150
AT2G17180	C2H2	AT2G17180
AT2G17770	bZIP	AT2G17770
AT2G17950	WOX	AT2G17950
AT2G18060	NAC	AT2G18060
AT2G18120	SRS	AT2G18120
AT2G18160	bZIP	AT2G18160
AT2G18300	bHLH	AT2G18300
AT2G18328	MYB_related	AT2G18328
AT2G18350	ZF-HD	AT2G18350
AT2G18380	GATA	AT2G18380
AT2G18490	C2H2	AT2G18490
AT2G18550	HD-ZIP	AT2G18550
AT2G19510	LBD	AT2G19510
AT2G19810	C3H	AT2G19810
AT2G19820	LBD	AT2G19820
AT2G20110	CPP	AT2G20110
AT2G20180	bHLH	AT2G20180
AT2G20280	C3H	AT2G20280
AT2G20350	ERF	AT2G20350
AT2G20400	G2-like	AT2G20400
AT2G20570	G2-like	AT2G20570
AT2G20613	GeBP	AT2G20613
AT2G20880	ERF	AT2G20880
AT2G21230	bZIP	AT2G21230
AT2G21240	BBR-BPC	AT2G21240
AT2G21320	DBB	AT2G21320
AT2G21400	SRS	AT2G21400
AT2G21900	WRKY	AT2G21900
AT2G22200	ERF	AT2G22200
AT2G22300	CAMTA	AT2G22300
AT2G22430	HD-ZIP	AT2G22430
AT2G22540	MIKC_MADS	AT2G22540
AT2G22630	MIKC_MADS	AT2G22630
AT2G22750	bHLH	AT2G22750
AT2G22760	bHLH	AT2G22760
AT2G22770	bHLH	AT2G22770
AT2G22800	HD-ZIP	AT2G22800
AT2G22840	GRF	AT2G22840
AT2G22850	bZIP	AT2G22850
AT2G23290	MYB	AT2G23290
AT2G23320	WRKY	AT2G23320
AT2G23340	ERF	AT2G23340
AT2G23660	LBD	AT2G23660
AT2G23760	TALE	AT2G23760
AT2G24260	bHLH	AT2G24260
AT2G24430	NAC	AT2G24430
AT2G24570	WRKY	AT2G24570
AT2G24645	B3	AT2G24645
AT2G24650	B3	AT2G24650
AT2G24680	B3	AT2G24680
AT2G24681	B3	AT2G24681
AT2G24690	B3	AT2G24690
AT2G24696	B3	AT2G24696
AT2G24700	B3	AT2G24700
AT2G24790	CO-like	AT2G24790
AT2G24830	C3H	AT2G24830
AT2G24840	M-type_MADS	AT2G24840
AT2G25000	WRKY	AT2G25000
AT2G25180	ARR-B	AT2G25180
AT2G25230	MYB	AT2G25230
AT2G25650	GeBP	AT2G25650
AT2G25820	ERF	AT2G25820
AT2G25900	C3H	AT2G25900
AT2G26150	HSF	AT2G26150
AT2G26320	M-type_MADS	AT2G26320
AT2G26580	YABBY	AT2G26580
AT2G26940	C2H2	AT2G26940
AT2G26950	MYB	AT2G26950
AT2G26960	MYB	AT2G26960
AT2G27050	EIL	AT2G27050
AT2G27070	ARR-B	AT2G27070
AT2G27110	FAR1	AT2G27110
AT2G27220	TALE	AT2G27220
AT2G27300	NAC	AT2G27300
AT2G27470	NF-YB	AT2G27470
AT2G27990	TALE	AT2G27990
AT2G28160	bHLH	AT2G28160
AT2G28200	C2H2	AT2G28200
AT2G28340	GATA	AT2G28340
AT2G28350	ARF	AT2G28350
AT2G28450	C3H	AT2G28450
AT2G28500	LBD	AT2G28500
AT2G28510	Dof	AT2G28510
AT2G28550	AP2	AT2G28550
AT2G28610	WOX	AT2G28610
AT2G28700	M-type_MADS	AT2G28700
AT2G28710	C2H2	AT2G28710
AT2G28810	Dof	AT2G28810
AT2G29060	GRAS	AT2G29060
AT2G29065	GRAS	AT2G29065
AT2G29660	C2H2	AT2G29660
AT2G30130	LBD	AT2G30130
AT2G30250	WRKY	AT2G30250
AT2G30340	LBD	AT2G30340
AT2G30420	MYB_related	AT2G30420
AT2G30424	MYB_related	AT2G30424
AT2G30432	MYB_related	AT2G30432
AT2G30470	B3	AT2G30470
AT2G30590	WRKY	AT2G30590
AT2G31070	TCP	AT2G31070
AT2G31180	MYB	AT2G31180
AT2G31210	bHLH	AT2G31210
AT2G31215	bHLH	AT2G31215
AT2G31220	bHLH	AT2G31220
AT2G31230	ERF	AT2G31230
AT2G31280	bHLH	AT2G31280
AT2G31310	LBD	AT2G31310
AT2G31370	bZIP	AT2G31370
AT2G31380	DBB	AT2G31380
AT2G31730	bHLH	AT2G31730
AT2G32250	FAR1	AT2G32250
AT2G32370	HD-ZIP	AT2G32370
AT2G32460	MYB	AT2G32460
AT2G32930	C3H	AT2G32930
AT2G33480	NAC	AT2G33480
AT2G33500	CO-like	AT2G33500
AT2G33550	Trihelix	AT2G33550
AT2G33710	ERF	AT2G33710
AT2G33720	B3	AT2G33720
AT2G33810	SBP	AT2G33810
AT2G33835	C3H	AT2G33835
AT2G33860	ARF	AT2G33860
AT2G33880	WOX	AT2G33880
AT2G34140	Dof	AT2G34140
AT2G34440	M-type_MADS	AT2G34440
AT2G34710	HD-ZIP	AT2G34710
AT2G34720	NF-YA	AT2G34720
AT2G34820	bHLH	AT2G34820
AT2G34830	WRKY	AT2G34830
AT2G35310	B3	AT2G35310
AT2G35430	C3H	AT2G35430
AT2G35530	bZIP	AT2G35530
AT2G35550	BBR-BPC	AT2G35550
AT2G35640	Trihelix	AT2G35640
AT2G35700	ERF	AT2G35700
AT2G35940	TALE	AT2G35940
AT2G36010	E2F/DP	AT2G36010
AT2G36080	B3	AT2G36080
AT2G36270	bZIP	AT2G36270
AT2G36340	GeBP	AT2G36340
AT2G36400	GRF	AT2G36400
AT2G36450	ERF	AT2G36450
AT2G36610	HD-ZIP	AT2G36610
AT2G36890	MYB	AT2G36890
AT2G36960	MYB_related	AT2G36960
AT2G37000	TCP	AT2G37000
AT2G37060	NF-YB	AT2G37060
AT2G37120	S1Fa-like	AT2G37120
AT2G37260	WRKY	AT2G37260
AT2G37430	C2H2	AT2G37430
AT2G37590	Dof	AT2G37590
AT2G37630	MYB	AT2G37630
AT2G37650	GRAS	AT2G37650
AT2G37740	C2H2	AT2G37740
AT2G38090	MYB	AT2G38090
AT2G38250	Trihelix	AT2G38250
AT2G38300	G2-like	AT2G38300
AT2G38340	ERF	AT2G38340
AT2G38470	WRKY	AT2G38470
AT2G38880	NF-YB	AT2G38880
AT2G39250	AP2	AT2G39250
AT2G39880	MYB	AT2G39880
AT2G40140	C3H	AT2G40140
AT2G40200	bHLH	AT2G40200
AT2G40210	M-type_MADS	AT2G40210
AT2G40220	ERF	AT2G40220
AT2G40260	G2-like	AT2G40260
AT2G40340	ERF	AT2G40340
AT2G40350	ERF	AT2G40350
AT2G40470	LBD	AT2G40470
AT2G40620	bZIP	AT2G40620
AT2G40740	WRKY	AT2G40740
AT2G40750	WRKY	AT2G40750
AT2G40950	bZIP	AT2G40950
AT2G40970	G2-like	AT2G40970
AT2G41070	bZIP	AT2G41070
AT2G41130	bHLH	AT2G41130
AT2G41240	bHLH	AT2G41240
AT2G41690	HSF	AT2G41690
AT2G41710	AP2	AT2G41710
AT2G41835	C2H2	AT2G41835
AT2G41900	C3H	AT2G41900
AT2G41940	C2H2	AT2G41940
AT2G42150	MYB_related	AT2G42150
AT2G42200	SBP	AT2G42200
AT2G42280	bHLH	AT2G42280
AT2G42300	bHLH	AT2G42300
AT2G42380	bZIP	AT2G42380
AT2G42400	VOZ	AT2G42400
AT2G42410	C2H2	AT2G42410
AT2G42430	LBD	AT2G42430
AT2G42440	LBD	AT2G42440
AT2G42660	G2-like	AT2G42660
AT2G42830	MIKC_MADS	AT2G42830
AT2G43000	NAC	AT2G43000
AT2G43010	bHLH	AT2G43010
AT2G43140	bHLH	AT2G43140
AT2G43280	FAR1	AT2G43280
AT2G43500	Nin-like	AT2G43500
AT2G44430	MYB_related	AT2G44430
AT2G44730	Trihelix	AT2G44730
AT2G44745	WRKY	AT2G44745
AT2G44840	ERF	AT2G44840
AT2G44910	HD-ZIP	AT2G44910
AT2G44940	ERF	AT2G44940
AT2G45050	GATA	AT2G45050
AT2G45120	C2H2	AT2G45120
AT2G45160	GRAS	AT2G45160
AT2G45190	YABBY	AT2G45190
AT2G45410	LBD	AT2G45410
AT2G45420	LBD	AT2G45420
AT2G45480	GRF	AT2G45480
AT2G45650	MIKC_MADS	AT2G45650
AT2G45660	MIKC_MADS	AT2G45660
AT2G45680	TCP	AT2G45680
AT2G45880	BES1	AT2G45880
AT2G46130	WRKY	AT2G46130
AT2G46270	bZIP	AT2G46270
AT2G46310	ERF	AT2G46310
AT2G46400	WRKY	AT2G46400
AT2G46410	MYB_related	AT2G46410
AT2G46510	bHLH	AT2G46510
AT2G46530	ARF	AT2G46530
AT2G46590	Dof	AT2G46590
AT2G46680	HD-ZIP	AT2G46680
AT2G46770	NAC	AT2G46770
AT2G46810	bHLH	AT2G46810
AT2G46830	MYB_related	AT2G46830
AT2G46870	B3	AT2G46870
AT2G46970	bHLH	AT2G46970
AT2G47070	SBP	AT2G47070
AT2G47190	MYB	AT2G47190
AT2G47210	MYB_related	AT2G47210
AT2G47260	WRKY	AT2G47260
AT2G47460	MYB	AT2G47460
AT2G47520	ERF	AT2G47520
AT2G47810	NF-YB	AT2G47810
AT2G47850	C3H	AT2G47850
AT2G47890	CO-like	AT2G47890
AT3G01080	WRKY	AT3G01080
AT3G01140	MYB	AT3G01140
